masked	src
Домъ арнь оупьва на г҃[_]	Домъ арнь оупьва на г҃ѣ
Ѣко врѣмѩ помило[_]аті	Ѣко врѣмѩ помиловаті
ꙇ[_]идѫ въ поусто[_]мѣсто кораблемь едини	ꙇ идѫ въ поусто мѣсто кораблемь едини
побѢжденъ же бывъ дия͑волъ [_]рѢмѢни сⱕ [_]ъ мѫжескъ о͑бр[_]зъ	побѢжденъ же бывъ дия͑волъ прѢмѢни сⱕ въ мѫжескъ о͑бразъ
тъ бо не[_]о͑тъпаде	тъ бо не о͑тъпаде
͗Ѡле чоудо	͗Ѡле чоудо
Ѣ[_]о въ вѣкъ милость его	Ѣко въ вѣкъ милость его
С[_]͆ъи[_] же паулъ о͑склабивъ сѧ рече	Ст͆ъи͑ же паулъ о͑склабивъ сѧ рече
ꙗ҅коже и о̑убо в[_]дѣшꙙ ѥ҅го[_]е многашди в[_]дѣшꙙ ѥ҅гож[_] не видѣшꙙ николиже ѥ҅гоже присно видꙙште [_]ъжиꙁаѭ̑тъ сꙙ свои҅мъ жегоми о҅гн҄ем[_]	ꙗ҅коже и о̑убо видѣшꙙ ѥ҅гоже многашди видѣшꙙ ѥ҅гоже не видѣшꙙ николиже ѥ҅гоже присно видꙙште въжиꙁаѭ̑тъ сꙙ свои҅мъ жегоми о҅гн҄емъ
҅Алеѯ[_]нꙿдръ рече	҅Алеѯанꙿдръ рече
ꙇ г҃ла емо[_]	ꙇ г҃ла емоу
о҅ни же мо[_]ꙑкꙑ и҅ рꙑла в[_]҆ꙁемъше копашꙙ	о҅ни же мотꙑкꙑ и҅ рꙑла вь҆ꙁемъше копашꙙ
ꙗ҅дѣѣ҆ше о̑убо о҅[_][_] вь҆сего нъ по малоу ꙁѣло	ꙗ҅дѣѣ҆ше о̑убо о҅тъ вь҆сего нъ по малоу ꙁѣло
[_]ЬШѢ В О ТОМЗЕ	МЬШѢ В О ТОМЗЕ
[_]ѣлателе же би[_]ъше поустишѧ тъшть	дѣлателе же бивъше поустишѧ тъшть
тоу съвꙙꙁанъ а҅дамъ҆ съвꙙꙁан[_]и҆ прѣжде и҅ о̑умь҆рꙑи҆ прѣжде вь҆сѣ[_]ъ съвꙙꙁанъ пр[_]и҅[_]подь҆[_]ѣи҆	тоу съвꙙꙁанъ а҅дамъ҆ съвꙙꙁанꙑи҆ прѣжде и҅ о̑умь҆рꙑи҆ прѣжде вь҆сѣхъ съвꙙꙁанъ прѣи҅сподь҆нѣи҆
