masked	src
Is hé [_]orochai[_] la[_]na trí Colla Colla hÚais ⁊ Colla Mend ⁊ Co[_]la Focri.	Is hé dorochair lasna trí Colla Colla hÚais ⁊ Colla Mend ⁊ Colla Focri.
Firini [_] ludhughudh.	Firini a ludhughudh.
Tinólsatar, tola[_]tren, slóig mora macc n-Israh[_]l, b[_]huamnaig triamnaig diat[_]aig co[_]batar uili in-oendáil.	Tinólsatar, tola tren, slóig mora macc n-Israhél, bahuamnaig triamnaig diatraig combatar uili in-oendáil.
Couma[_]msirad andso sis.	Coumaimsirad andso sis.
Téit-sium fúith[_]b amail téit ség fa mindtu ⁊ dogní airlech [_]o[_][_]ib co m-ba lí[_] a mairb oldáit a m-bí ⁊ ro theic[_]set in drong ropa beó dí[_].	Téit-sium fúithib amail téit ség fa mindtu ⁊ dogní airlech foraib co m-ba lía a mairb oldáit a m-bí ⁊ ro theichset in drong ropa beó díb.
Cruithne in tres conchaire aile ca[_]ha le[_]h.	Cruithne in tres conchaire aile cacha leth.
Is íarum gonglóisie asin derc[_]íar telcodh a pr[_]nd.	Is íarum gonglóisie asin derc íar telcodh a prond.
Lair Derg ingen Mothaire [_]ic Clithaire de Chor[_]a Oiche a h[_]Úi Fidhinti ⁊ Torna Eigis in f[_]li[_]rem[_]áiti, is síat r[_]s-ail Corc mac Luigdech.	Lair Derg ingen Mothaire mic Clithaire de Chorca Oiche a h-Úi Fidhinti ⁊ Torna Eigis in fili remráiti, is síat rus-ail Corc mac Luigdech.
Ur .i. draighe[_].	Ur .i. draighen.
Tuccsat im[_]orro mu[_]nter Mo l-Ling a m-boin le[_] i[_]r sin i[_]medhón a [_]eiched, ⁊ ro thathbeóaigh in clérech h-í iar sin c[_] rabh immlan.	Tuccsat immorro muinter Mo l-Ling a m-boin leo iar sin i medhón a seiched, ⁊ ro thathbeóaigh in clérech h-í iar sin co rabh immlan.
Do-chóid Mae[_] Fothartaig immorro co mbaí ar cuairt[_]i n[_]desciurt La[_]en.	Do-chóid Mael Fothartaig immorro co mbaí ar cuairt i n-desciurt Lagen.
In tres l[_] is[_]ann adubairt Guaire fri Diarmait:	In tres lá is ann adubairt Guaire fri Diarmait:
‘Bidh annsin[_]co n-[_]echusa do acca[_]laim ind óen-duine út.	‘Bidh annsin co n-dechusa do accallaim ind óen-duine út.
[_]cus cor bhat daimh dedla dimora agarbh[_] iar reamur muineth[_] [_]oirsciach [_]n muighi oc beicidhaigh ⁊ o[_] buirfedaigh oc a roachtain	Ocus cor bhat daimh dedla dimora agarbha iar reamur muinetha moirsciach in muighi oc beicidhaigh ⁊ oc buirfedaigh oc a roachtain
Clann Bresail, a quo h-Ui D[_]mnallan Domnallan, mac Maelbrigdi, mic Grenain, mic Loingsich[_] mic Domnallain, mic Bresail, mic Dlut[_]aig, [_]ic Fithchellaig[_] mic [_]icholla, m[_]c Eog[_][_]n Find.	Clann Bresail, a quo h-Ui Domnallan Domnallan, mac Maelbrigdi, mic Grenain, mic Loingsich, mic Domnallain, mic Bresail, mic Dluthaig, mic Fithchellaig, mic Dicholla, mic Eogain Find.
Connaghar dono bunad ⁊ in[_][_] ⁊ ai[_]bert, coitchend, dilius, ruidl[_]us[_] indlius isin bfoucul is ault.	Connaghar dono bunad ⁊ inde ⁊ airbert, coitchend, dilius, ruidlius, indlius isin bfoucul is ault.
[_]eit Patr[_]ic insin [_]o h-ænach Taillten co macu Neill	Teit Patraic insin co h-ænach Taillten co macu Neill
Cach[_]da thaebomna ar [_]id hi cu[_]aid, cach da cobfid[_]i cubaid: is ed is cubaid [_]arum co robe an f[_]d cetna beas isna foc[_]aib in imfreccrai, ⁊ co rob inund[_]a lin du [_]aebomna beas intib	Cach da thaebomna ar fid hi cubaid, cach da cobfid i cubaid: is ed is cubaid iarum co robe an fid cetna beas isna fociaib in imfreccrai, ⁊ co rob inund a lin du taebomna beas intib
‘Neart ar do ch[_]r[_]ibh ⁊ ar do shlántaib[_], a Aodh, is lin[_]e an inghean feasta.’	‘Neart ar do choraibh ⁊ ar do shlántaibh, a Aodh, is linne an inghean feasta.’
Sechtmain doib íar [_]ain ic slaide Ulad, co nde[_]nad[_]tír clai[_]ib don tír itátt Murgdornai ⁊ hÚai Chremthaind ⁊ cosna hAirth[_]raib ⁊ hÚai Maicc [_]a[_]s.	Sechtmain doib íar sain ic slaide Ulad, co ndernad tír claidib don tír itátt Murgdornai ⁊ hÚai Chremthaind ⁊ cosna hAirtheraib ⁊ hÚai Maicc Úais.
