masked	src
‘Ní f[_]tta[_]-sa in frithriaghail hí-sin’ ol Adamnán ‘acht ara[_]de ro sáe[_] [_]ia an mnaoi ocus ní r[_]gha-siu cen[_]indeachad ar[_]at-béla fodén co[_]roluath ocus ní gébhthar rícc[_]e uai[_] ocus ní bia cether[_] bus lia cóiccer la fer dot chiniúl co bráth’	‘Ní fettar-sa in frithriaghail hí-sin’ ol Adamnán ‘acht araide ro sáer Dia an mnaoi ocus ní ragha-siu cen indeachad ar at-béla fodén co roluath ocus ní gébhthar rícche uait ocus ní bia cethern bus lia cóiccer la fer dot chiniúl co bráth’
Coire dá Rúad in roglas aicd[_] sruthaidi senbras is mór bru[_]theas a[_]chuithe genco br[_][_]thi aní berbas	Coire dá Rúad in roglas aicde sruthaidi senbras is mór bruitheas a chuithe genco bruithi aní berbas
[_]impán[_]inna [_]-láim, conid senned dam cach n-aidchi.’	Timpán inna l-láim, conid senned dam cach n-aidchi.’
Ocus is and asbert Lóeg béos frisseo[_] ic innis[_]n oíbniusa int [_]hída.	Ocus is and asbert Lóeg béos frisseom ic innisin oíbniusa int shída.
Scarsait íar sin [_]cus luid Cú Chuluinn for cúlo dorithisiu do Dún [_]mri[_]h ocu[_] luithi in Morrígan[_]cona buin hi síd Crúa[_]h[_]n la Connachta	Scarsait íar sin ocus luid Cú Chuluinn for cúlo dorithisiu do Dún Imrith ocus luithi in Morrígan cona buin hi síd Crúachan la Connachta
‘For-tonga do día tuingth[_] Ulai[_]’ ol Cú Chuluinn[_]‘fortat-naesab­	‘For-tonga do día tuingthe Ulaid’ ol Cú Chuluinn ‘fortat-naesab­
E[_] postea cecinit:	Et postea cecinit:
Rob adlaic[_]leo[_]som [_]aigh-íartaigi d[_]m-sa; .i. ro-[_]oilgedh leis d[_]bach lán di arcad olis treisiu tocad Ædán f[_]-fúair co t[_]cad úad crod an athar armo marbad-sa libh-si[_]sund’	Rob adlaic leo-som daigh-íartaigi dam-sa; .i. ro-foilgedh leis dabach lán di arcad olis treisiu tocad Ædán fo-fúair co tucad úad crod an athar armo marbad-sa libh-si sund’
Is he [_]n Lugaid-so ba[_]rí for Mum[_] inta[_] dobreth ara[_]ces m-brethe al Leith Cuind co Mumain, co n-erbai[_][_] in fochmarcith f[_]i Lugid Lágde, rí side & file:	Is he an Lugaid-so ba rí for Mume intan dobreth arances m-brethe al Leith Cuind co Mumain, co n-erbairt in fochmarcith fri Lugid Lágde, rí side & file:
‘Ní ceilt céis[_]ceól do chrui[_] Chraiphtini co corastar for sl[_]agu suanbás co[_]-sreth coibnius etir sceo [_]aí[_] Moríath ma[_]dacht Morca mó ce[_]h luag Labraid.’	‘Ní ceilt céis ceól do chruit Chraiphtini co corastar for sluagu suanbás con-sreth coibnius etir sceo Maín Moríath macdacht Morca mó cech luag Labraid.’
D[_] REMFHOCUL.	DA REMFHOCUL.
Geibthi Lóeg íarom cloich & dobeir[_]isin ta[_]lm.	Geibthi Lóeg íarom cloich & dobeir isin tailm.
Do-ecmalldar legi Érenn[_]	Do-ecmalldar legi Érenn.
‘Ní linni a cumacc’, ol[_]Ailill oc[_]s Medb.	‘Ní linni a cumacc’, ol Ailill ocus Medb.
Idibus Ma[_]i.	Idibus Maii.
At-bert in clam ba f[_]rr lai[_] a ícc dia c[_]lai[_]e oltás rigi ind uli domain dó	At-bert in clam ba ferr lais a ícc dia chlaime oltás rigi ind uli domain dó
Ó ru[_]biam, scél ce[_] scís, innar [_]egdais, ar n-óendís, táithiunn,[_]díchrích[_]de clius, ní fris tarddam[_]ar n-áthius.	Ó ru biam, scél cen scís, innar tegdais, ar n-óendís, táithiunn, díchríchide clius, ní fris tarddam ar n-áthius.
Boí and do a[_]dchi dano aithi[_]riuch.	Boí and do aidchi dano aithirriuch.
Senais Brigit a roisc in m[_]c-cleri[_]	Senais Brigit a roisc in mac-clerig
‘In comram beus!’ ol[_]Cet.	‘In comram beus!’ ol Cet.
Augusti.	Augusti.
Téit Bláthmac ina di[_]id	Téit Bláthmac ina diaid
‘Colba do lepthaib crónda,’ ‘úatne finna forórda,’ ‘is sí caindell ard[_]stá’ ‘i[_] [_]í[_] lógm[_]r lainerdá.’	‘Colba do lepthaib crónda,’ ‘úatne finna forórda,’ ‘is sí caindell ardustá’ ‘in lía lógmar lainerdá.’
‘Bia sod-sa dono glass duit-si’ ol sí ‘ocus géba bréit do[_] dóidind deiss coni[_]ci[_]do ri[_]id’	‘Bia sod-sa dono glass duit-si’ ol sí ‘ocus géba bréit dot dóidind deiss conicci do rigid’
D[_]-ruacht iar sin Aengus i r-richt moghad chuice, & r[_] erb [_]ael[_]Ruain fris frestal n[_] h-atha.	Do-ruacht iar sin Aengus i r-richt moghad chuice, & ro erb Mael Ruain fris frestal na h-atha.
Ráith co r[_]g, rán togae, Iulián all n-glaine[_] ní dlig sár, slán subae, bath[_]s már Maicc[_]Ma[_]re.	Ráith co ríg, rán togae, Iulián all n-glaine, ní dlig sár, slán subae, bathes már Maicc Maire.
R[_] lá in gillae cloich ina th[_]baill.	Ro lá in gillae cloich ina thabaill.
Atraig Cú[_]Chulaind a n-doch[_]m.	Atraig Cú Chulaind a n-dochum.
‘Dia[_]cuimsimmis do-bérthae dó[_].	‘Dia cuimsimmis do-bérthae dó’.
Coná dechad[_]r [_]cht a n-deachaid do rind gaí & do gein[_]claidhibh & ni [_]aí crand dond indsi fri [_]roile im meadón laí a[_]na márach	Coná dechadar acht a n-deachaid do rind gaí & do gein claidhibh & ni baí crand dond indsi fri aroile im meadón laí arna márach
Rom-shóerae, á Íss[_], á Choim[_]diu cá[_]n comul, amail sóersai h-Éli la h-Enóc d[_]n domun.	Rom-shóerae, á Íssu, á Choimmdiu cáin comul, amail sóersai h-Éli la h-Enóc don domun.
Maidti ria Mac Con for Art mac Cuind & for[_]maccu Ailella Moshaul[_]im [_] gabais Mac C[_]n rígi n-Éiren[_] íarsin t[_]ichoit mbliadan.	Maidti ria Mac Con for Art mac Cuind & for maccu Ailella Moshauluim & gabais Mac Con rígi n-Éirenn íarsin trichoit mbliadan.
