masked	src
Ensi s' an vont [MASK] adés, Et li lyeons toz [MASK] aprés, Tant qu' au chastel vindrent tuit troi.	Ensi s'an vont parlant adés, Et li lyeons toz jorz aprés, Tant qu'au chastel vindrent tuit troi.
Que talant a [MASK] il rescoe Son seignor einz que il l' ocïent.	Que talant a que il rescoe Son seignor einz que il l'ocïent.
Et tu me redevroies dire [MASK] hom tu iés et que tu quiers.	Et tu me redevroies dire Quiex hom tu iés et que tu quiers.
ensi le fis;	ensi le fis ;
La dameisele ensi [MASK] en mainne;	La dameisele ensi l'en mainne ;
Devant lui voit la robe nueve [MASK]	Devant lui voit la robe nueve,
Messire Yvains par [MASK] main tient Le prisonier,	Messire Yvains par la main tient Le prisonier,
et pansse Que cele la consoille an [MASK];	et pansse Que cele la consoille an foi ;
Li lyons s' est arrieres trez [MASK]	Li lyons s'est arrieres trez.
Trestuit de [MASK] se travaillent,	Trestuit de joie se travaillent,
S' or vos contenez a mon sens [MASK] Si con je [MASK] lo contenir, Granz biens vos an porra venir.	S'or vos contenez a mon sens, Si con je vos lo contenir, Granz biens vos an porra venir.
car an redot Est que li jaianz ne venist A tele ore [MASK] il poïst Venir a [MASK] a [MASK] pucele Qui ert anclose an la chapele.	car an redot Est que li jaianz ne venist A tele ore que il poïst Venir a tens a la pucele Qui ert anclose an la chapele.
Et maintenant qu' il s' antrevirent, [MASK] antrevindrent	Et maintenant qu'il s'antrevirent, S'antrevindrent
- [MASK], fet il, et je m' an tes,	- Sire, fet il, et je m'an tes,
Tant fu li tans pesmes et forz Que cent foiz cuidai estre morz Des [MASK] [MASK] antor moi cheoient Et des arbres qui peceoient.	Tant fu li tans pesmes et forz Que cent foiz cuidai estre morz Des foudres qu'antor moi cheoient Et des arbres qui peceoient.
Qant ma dame se [MASK], N' a mie ancor .vi. anz parclos, [MASK] le fist ele par voz los.	Qant ma dame se maria, N'a mie ancor.vi. anz parclos, Si le fist ele par voz los.
Que la flame mal ne li face Que il gitoit parmi la [MASK], Qui plus estoit lee d' une [MASK].	Que la flame mal ne li face Que il gitoit parmi la gole, Qui plus estoit lee d'une ole.
[MASK] Lunete li redit puis:	Et Lunete li redit puis :
[MASK] ainz mes ne cuit qu' il avenist Que nus hom qui prison tenist, Tel con messire Yvains la [MASK], Que de la teste perdre crient, Amast an si fole [MASK], [MASK] il ne fera ja proiere [MASK] autres por lui, puet cel estre.	N'ainz mes ne cuit qu'il avenist Que nus hom qui prison tenist, Tel con messire Yvains la tient, Que de la teste perdre crient, Amast an si fole meniere, Dom il ne fera ja proiere Ne autres por lui, puet cel estre.
La nuit [MASK] totes enors li firent	La nuit, totes enors li firent
Le seignor del chastel meïsme Apele oiant toz [MASK]	Le seignor del chastel meïsme Apele oiant toz,
Et dit:	Et dit :
Les leus ou [MASK] ert espandue Vet reverchant,	Les leus ou ele ert espandue Vet reverchant,
Cele fet sanblant qu' [MASK] querre Monseignor Yvain en sa terre,	Cele fet sanblant qu'anvoit querre Monseignor Yvain en sa terre,
Honiz soit de sainte Marie Qui por anpirier [MASK] marie!	Honiz soit de sainte Marie Qui por anpirier se marie !
Qu' ele li leve de ses [MASK] Le col et [MASK] vis et la face;	Qu'ele li leve de ses mains Le col et le vis et la face ;
S' il s' an foï, n' a mie tort [MASK] Qu' il se santi navrez a mort [MASK]	S'il s'an foï, n'a mie tort, Qu'il se santi navrez a mort ;
et [MASK] vos la teingne;	et de vos la teingne ;
Puis ramanras mon palefroi.	Puis ramanras mon palefroi.
Or ont joie li .iiii. frere, Qui mout avoient [MASK] sofert.	Or ont joie li.iiii. frere, Qui mout avoient mal sofert.
Tex done boen consoil autrui, Qui [MASK] savroit [MASK] lui, Ausi con li preescheor [MASK] sont desleal lecheor, Enseignent et dïent le bien Dom il ne vuelent feire rien! »	Tex done boen consoil autrui, Qui ne savroit conseillier lui, Ausi con li preescheor Qui sont desleal lecheor, Enseignent et dïent le bien Dom il ne vuelent feire rien ! »
Que ja de [MASK] ne s' an feindra.	Que ja de rien ne s'an feindra.
Que mialz qu' il pueent [MASK] anploient.	Que mialz qu'il pueent les anploient.
Mal ait par [MASK] nos la perdrons,	Mal ait par cui nos la perdrons,
Garde,	Garde,
Je n' en ai [MASK];	Je n'en ai soing ;
Se n' i [MASK] nul qui le conoisse Fors que Lunete seulemant, Qui le convea [MASK].	Se n'i a nul qui le conoisse Fors que Lunete seulemant, Qui le convea longuemant.
ne ja n' avras.	ne ja n'avras.
Or [MASK] gardez bien come sages Que n' [MASK] lessiez la teste an gages,	Or vos gardez bien come sages Que n'i lessiez la teste an gages,
fet ele.	fet ele.
Ne Dex [MASK] hom ne l' i savoit,	Ne Dex ne hom ne l'i savoit,
Et dïent que buer seroit nee Cui il avroit s' amor donee, Qui si est as armes puissanz Et desor toz reconoissanz, Si [MASK] cierges antre chandoiles Et la lune antre les estoiles [MASK] [MASK] [MASK] desor la lune;	Et dïent que buer seroit nee Cui il avroit s'amor donee, Qui si est as armes puissanz Et desor toz reconoissanz, Si con cierges antre chandoiles Et la lune antre les estoiles Et li solauz desor la lune ;
[MASK] dites li Que demain au soir resoit ci Et voist plus tost [MASK] il ne siaut,	Mes dites li Que demain au soir resoit ci Et voist plus tost que il ne siaut,
« Dame, [MASK] termes est mout lons.	« Dame, cist termes est mout lons.
Que [MASK] piez joinz li estandoit	Que ses piez joinz li estandoit
[MASK] il s' an ist,	et il s'an ist,
Atant de la boiste se [MASK];	Atant de la boiste se teisent ;
Que par lui desresnier voldroit La querele ou ele n' a [MASK];	Que par lui desresnier voldroit La querele ou ele n'a droit ;
Qu' il ne l' [MASK] pas desservi:	Qu'il ne l'eüst pas desservi :
[MASK] Yvains ceste novele ot, Si s' esbaïst	Quant Yvains ceste novele ot, Si s'esbaïst
Plaindre se doit qui est batuz [MASK]	Plaindre se doit qui est batuz ;
Quant vit [MASK] qui nuz estoit, Bien pot [MASK], sanz nul redot, Qu' il n' ert mie an son [MASK] del tot;	Quant vit celui qui nuz estoit, Bien pot savoir, sanz nul redot, Qu'il n'ert mie an son san del tot ;
Mes or est ele [MASK] venue,	Mes or est ele bien venue,
Et ses genz anviron lui [MASK], Que par po de [MASK] ne s' ocïent;	Et ses genz anviron lui crïent, Que par po de duel ne s'ocïent ;
Ensi li portiers le semont	Ensi li portiers le semont
