masked	src
在東宮無失[MASK]	在東宮無失德
猶將亡之也	猶將亡之也
萬[MASK]夾道而伏	萬弩夾道而伏
今臣處郎中	今臣處郎中
赫赫師尹民具[MASK]瞻	赫赫師尹民具爾瞻
寡人之國貧	寡人之國貧
君釋菜	君釋菜
三夫[MASK]九嬪二十七世婦八十一御妻	三夫人九嬪二十七世婦八十一御妻
不可	不可
是爲簡文皇帝	是爲簡文皇帝
引進[MASK]憲陳蕃等	引進黃憲陳蕃等
廢帝名子業	廢帝名子業
或者不可乎	或者不可乎
故天子制諸[MASK]	故天子制諸侯
陰陽三合	陰陽三合
復亂以飭歸	復亂以飭歸
與[MASK]遇而許之王	與之遇而許之王
臣來弔足下	臣來弔足下
臣能得[MASK]於應侯	臣能得之於應侯
淵乃召[MASK]起兵	淵乃召募起兵
朕幼清以廉[MASK]兮	朕幼清以廉潔兮
而有不為也	而有不為也
致其忠愛	致其忠愛
長信侯曰	長信侯曰
酒徒[MASK]歷坐洲鳥	酒徒歷歷坐洲鳥
燕王旦以長[MASK]得立謀反	燕王旦以長不得立謀反
嘻	嘻
允卒	允卒
一樂也	一樂也
與其無義[MASK]有名兮	與其無義而有名兮
王旣用雎策	王旣用雎策
則立	則立
夫癘[MASK]癰腫胞疾	夫癘雖癰腫胞疾
上亦不能視[MASK]	上亦不能視疾
五千貂[MASK]喪胡塵	五千貂錦喪胡塵
居彼人之所	居彼人之所
子曰	子曰
扁鵲[MASK]而投其石	扁鵲怒而投其石
晏子身相齊國	晏子身相齊國
勿求於氣	勿求於氣
未可也	未可也
而太弟忽必烈攻城[MASK]急	而太弟忽必烈攻城益急
食無樂	食無樂
恐妨和議	恐妨和議
尊奉上皇帝	尊奉上皇帝
異貴於[MASK]者何也	異貴於此者何也
豈得任淸望[MASK]	豈得任淸望官
在家必達	在家必達
死亦名之	死亦名之
麋鹿成羣	麋鹿成羣
大祥	大祥
牛宜稌	牛宜稌
收河間何益也	收河間何益也
漢皇重色思[MASK]國	漢皇重色思傾國
先生視可者	先生視可者
周流天下	周流天下
今公之力有[MASK]守之	今公之力有餘守之
曰	曰
奉使者自[MASK]陪臣	奉使者自同陪臣
王即欲以秦[MASK]齊	王即欲以秦攻齊
風霆流形	風霆流形
則楚必攻宋	則楚必攻宋
齊之以刑	齊之以刑
千秋尚凜然	千秋尚凜然
魏順曰	魏順曰
亦若吾子[MASK]言	亦若吾子之言
殊徽號	殊徽號
思慕之心	思慕之心
盍徹乎	盍徹乎
眾皆[MASK]進以貪婪兮	眾皆競進以貪婪兮
賜灌	賜灌
吞兼二國	吞兼二國
庠者養也	庠者養也
仲尼亟稱於水	仲尼亟稱於水
帝嚳高辛氏玄囂[MASK]子	帝嚳高辛氏玄囂之子
過則稱己	過則稱己
恐不如	恐不如
必不釋趙	必不釋趙
子聞之曰	子聞之曰
凡執技以事上[MASK]祝史[MASK]御醫卜及百工	凡執技以事上者祝史射御醫卜及百工
先[MASK]嘗令諸王將兵巡警	先是嘗令諸王將兵巡警
以詡爲朝歌長	以詡爲朝歌長
如不可行	如不可行
幸之	幸之
以善蘇秦	以善蘇秦
誦堯之言	誦堯之言
君子曰	君子曰
曲[MASK]諂事諸妃嬪	曲意諂事諸妃嬪
曰	曰
時稱治平	時稱治平
驛吏防守嚴於獄[MASK]	驛吏防守嚴於獄犴
封隴西公	封隴西公
犯姦者身死	犯姦者身死
强於自治	强於自治
始死	始死
或諫毋輕出	或諫毋輕出
誰當往者	誰當往者
脅肩諂笑	脅肩諂笑
○	○
夏室寒些	夏室寒些
長歌楚天碧	長歌楚天碧
又使公罔之裘序[MASK]揚觶而語	又使公罔之裘序點揚觶而語
曰	曰
秦王曰	秦王曰
以止滔水	以止滔水
爲孟嘗君	爲孟嘗君
詔	詔
以[MASK]身勝瘴氣	以輕身勝瘴氣
以權之	以權之
齊怒深	齊怒深
禮之所尊	禮之所尊
醯醢之美而煎[MASK]之尚	醯醢之美而煎鹽之尚
燕饑	燕饑
由是觀之	由是觀之
齊明謂楚王	齊明謂楚王
是以聖人觀其鄉而[MASK]宜	是以聖人觀其鄉而順宜
何以射	何以射
[MASK]盾夏日之日也	趙盾夏日之日也
交割而不[MASK]憎	交割而不相憎
是則同	是則同
周[MASK]黎民靡有孑遺	周餘黎民靡有孑遺
陵罷相	陵罷相
哭者止	哭者止
射不主皮	射不主皮
獨行其道	獨行其道
禮[MASK]由賢者出	禮義由賢者出
五月張世傑[MASK]潮州	五月張世傑復潮州
凡始立學者必釋[MASK]于先聖先師	凡始立學者必釋奠于先聖先師
紹興[MASK]年金人先以陝西河南地歸宋	紹興九年金人先以陝西河南地歸宋
與國人交[MASK]於信	與國人交止於信
長鋏歸來乎	長鋏歸來乎
相嚮而哭	相嚮而哭
始乘則式	始乘則式
逼堯之子	逼堯之子
自葛始	自葛始
漢追及之	漢追及之
不處也	不處也
小賢役大賢	小賢役大賢
數[MASK]之後迎刃而解	數節之後迎刃而解
○	○
[MASK]欲達而達人	己欲達而達人
多助之至	多助之至
毋有斬伐	毋有斬伐
東陽河外不[MASK]而已反為齊矣	東陽河外不戰而已反為齊矣
金人舟來	金人舟來
圖窮而匕首見	圖窮而匕首見
先帝之法	先帝之法
詩云	詩云
醫扁鵲見[MASK]武王	醫扁鵲見秦武王
間於齊楚	間於齊楚
曰隆和興寧	曰隆和興寧
[MASK]豈若是小丈夫然哉	予豈若是小丈夫然哉
不謂之進	不謂之進
此辭反	此辭反
其福甚多	其福甚多
不得矣	不得矣
感我此[MASK]良久立	感我此言良久立
曰	曰
與月無異	與月無異
上問建州去京師[MASK]何	上問建州去京師幾何
馬黑脊而般[MASK]漏	馬黑脊而般臂漏
無纖介[MASK]禍者馮諼之計也	無纖介之禍者馮諼之計也
遂疏儀狄	遂疏儀狄
雖然未聞道[MASK]	雖然未聞道也
奠于禰	奠于禰
延賞與晟有隙	延賞與晟有隙
曹交問曰	曹交問曰
婦附於其夫之所附之[MASK]	婦附於其夫之所附之妃
又從而庸之	又從而庸之
其節[MASK]子以騶虞為節	其節天子以騶虞為節
正字曹輔上言	正字曹輔上言
謹厚[MASK]亦復爲之	謹厚者亦復爲之
背法度而[MASK]治兮	背法度而心治兮
及反	及反
降[MASK]將章邯董翳司馬欣	降秦將章邯董翳司馬欣
天[MASK]豈有仙人	天下豈有仙人
深山竊聽來妖[MASK]	深山竊聽來妖精
卜人師扶右	卜人師扶右
詐稱武[MASK]曾孫劉文伯	詐稱武帝曾孫劉文伯
夫斷死與斷[MASK]也不同	夫斷死與斷生也不同
