masked	src
Blátha	Blátha
Is andsin do riachtsad clanna [MASK] re n-abar Baiscnigh [MASK] loingius na Pers ar amus aroili & [MASK] chuimhnighset a nua-fhalta [MASK] a n-escairdeas & ro [MASK] gu [MASK] sarugad Senan [MASK] na saer-shluaghuibh & creachad Innsi Cathaig ar an cruadh-loingius Ocus ro deigh-imredh ag Diarmaid & ag Baisceann a m-barc & ro dibraiged eturra a soighdi & a sleagha do chuadar ar a ramadaibh reamra [MASK] & ro gabsad cruadh-comairt ar a chele.	Is andsin do riachtsad clanna Cairbre re n-abar Baiscnigh & loingius na Pers ar amus aroili & ro chuimhnighset a nua-fhalta & a n-escairdeas & ro suidhigedh gu sunnradac sarugad Senan ag na saer-shluaghuibh & creachad Innsi Cathaig ar an cruadh-loingius Ocus ro deigh-imredh ag Diarmaid & ag Baisceann a m-barc & ro dibraiged eturra a soighdi & a sleagha do chuadar ar a ramadaibh reamra ruadh-fuinnsin & ro gabsad cruadh-comairt ar a chele.
[MASK] n-imacallaim áin Feircheirtne is Néide nem-náir, ní damthea do neoch dliged acht a [MASK] bard-filed.	Cosin n-imacallaim áin Feircheirtne is Néide nem-náir, ní damthea do neoch dliged acht a brethaib bard-filed.
Ingen h-I Eighin mathair Domnaill ocus Murchaid [MASK]	Ingen h-I Eighin mathair Domnaill ocus Murchaid;
Áeda Laigen.	Áeda Laigen.
Finid dó sin	Finid dó sin
a Clainn Oiliolla inmuin ag cath Luimnig [MASK] long luath.	a Clainn Oiliolla inmuin ag cath Luimnig na long luath.
Ri [MASK] digail, [MASK] n-án, forrígaib rian-Ianothán, o Machim, comílib slóg, cocrich n-iraig n-Achilon.	Ri dorat digail, delm n-án, forrígaib rian-Ianothán, o Machim, comílib slóg, cocrich n-iraig n-Achilon.
Is andsin doreiped doip [MASK] berlu-sa asna hilperlaiph rotaispenadh do aonfer [MASK], [MASK] pa he an [MASK] sin Gaidel mac Aingin, uair is he [MASK] mo darothlaig, no torothlaig, & is he rob ferr diph conad he a ainm-sidhe fordota in [MASK] sin, conid Gaidelc deiside o Gaidel mac Aingin meic Glunfind [MASK] Laimfhind meic Eithiur meic Aghnomain do Gregaiph.	Is andsin doreiped doip in berlu-sa asna hilperlaiph rotaispenadh do aonfer diph, & pa he an fer sin Gaidel mac Aingin, uair is he is mo darothlaig, no torothlaig, & is he rob ferr diph conad he a ainm-sidhe fordota in berla sin, conid Gaidelc deiside o Gaidel mac Aingin meic Glunfind meic Laimfhind meic Eithiur meic Aghnomain do Gregaiph.
Ri rosfaillsig foriagail friataidbsin cechoenblíadain, [MASK] frididnad suth, fricrínad, frihurugud.	Ri rosfaillsig foriagail friataidbsin cechoenblíadain, folígdath frididnad suth, fricrínad, frihurugud.
