masked	src
.i . fil ní de [MASK]. indrécht uáibsi as debthach.ɫ . .i . isindrecht dindhiris adib [MASK]	.i. fil ní de asfír.ɫ. indrécht uáibsi as debthach.ɫ. .i. isindrecht dindhiris adib debthichsi
[MASK]. inintain rombói Isderb linn is ní nimdibiu atruirmed hiresche do	.i. inintain rombói Isderb linn is ní nimdibiu atruirmed hiresche do
Iarsin roslelach-sa iar ngles duin fa [MASK] focart-sa a chend isin [MASK] go torchair in Iarsin dorochrodar roba tesbaid dif secht coecait cach ainlaoithi ó [MASK] rimh	Iarsin roslelach-sa iar ngles duin fa tri focart-sa a chend isin chath go torchair in Iarsin dorochrodar roba tesbaid dif secht coecait cach ainlaoithi ó rogabtha rimh
.i . ithé cretite [MASK] ísu	.i. ithé cretite in ísu
.i [MASK] erchrae nam briathar ua mbiat	.i. erchrae nam briathar ua mbiat
Comáesa comdelba comáilli comchaíni comchórai comchrotha co n-écosc ban síde impu, coná baí aithgne neich sech alaile [MASK] [MASK]	Comáesa comdelba comáilli comchaíni comchórai comchrotha co n-écosc ban síde impu, coná baí aithgne neich sech alaile díb.
.i . rofessursa indas nombiedsi	.i. rofessursa indas nombiedsi
‘ Fé amai [MASK] ’ ol Ulaid . ‘ ⁊ is fír, ’ [MASK] in mac.	‘Fé amai,’ ol Ulaid. ‘⁊ is fír,’ ol in mac.
[MASK] bethaid a anmae [MASK] Críst cóemdae nert-fhlaith, dia m-ba gnáth co r-ro-chneit a both slán ní decmaic.	La bethaid a anmae la Críst cóemdae nert-fhlaith, dia m-ba gnáth co r-ro-chneit a both slán ní decmaic.
proprium masued	proprium masued
Totegad dia tich lasodain	Totegad dia tich lasodain
Fóennelach, ob.	Fóennelach, ob.
.i . ocprecept dochách	.i. ocprecept dochách
.i . comithi	.i. comithi
Rogellaig, Éc [MASK] n-ailithri.	Rogellaig, Éc i n-ailithri.
.i . masculinum la [MASK] són immurgu ut in si dicitur calido hieme	.i. masculinum la baedam són immurgu ut in si dicitur calido hieme
.i . sechihed [MASK] són imbás etarscartha coirp anme bás pǽne rl.	.i. sechihed bás són imbás etarscartha coirp anme bás pǽne rl.
Fo-rácaib Loegaire mac ed [MASK] Ailill Áine.	Fo-rácaib Loegaire mac ed ón Ailill Áine.
Pridie cal.	Pridie cal.
Ocus baí cá [MASK] ⁊ ro chan laíd:	Ocus baí cá acallaim ⁊ ro chan laíd:
.i . inepbuith dia réir	.i. inepbuith dia réir
.i . [MASK] nád robe mesrugud forsindimmarmus níbia mesrugud forsindígail	.i. amal nád robe mesrugud forsindimmarmus níbia mesrugud forsindígail
‘ Bát seichmech ríagla [MASK]. ’	‘Bát seichmech ríagla athardai.’
.i . aróittid dano moprecept	.i. aróittid dano moprecept
a lleth o laim deiss	a lleth o laim deiss
